'-mechanical_instrument',1,0,1,'air_conditioner',49,'air_conditioner'
':light',2,0,1,'light',3112,'light'
"'""propulsion""_tool'",3,0,1,'unknown',5896,'unknown'
'[lant',4,0,1,'plant',4052,'plant'
'|keyboard',5,0,1,'keyboard',2874,'keyboard'
'abat',6,0,1,'unknown',5896,'unknown'
'abelchair',7,0,1,'chair',849,'chair'
'abinet',8,0,1,'cabinet',640,'cabinet'
'able_leg',9,0,1,'table',5409,'table'
'abstract_painting',10,0,,,#N/A,#N/A
'ac_panel',11,0,,,#N/A,#N/A
'ac_power_outlet',12,0,,,#N/A,#N/A
'ac_power_plug',13,0,,,#N/A,#N/A
'ac_vent',14,0,,,#N/A,#N/A
'ac_ventilarot',15,0,1,'ac_vent',14,'ac_vent'
'accent',16,0,,,#N/A,#N/A
'access_panel',17,0,,,#N/A,#N/A
'access',18,0,,,#N/A,#N/A
'accessories',19,0,,,#N/A,#N/A
'accordion_file',20,0,,,#N/A,#N/A
'ackage',21,0,1,'package',3729,'package'
'action_figure',22,0,,,#N/A,#N/A
'ad_copy',23,0,,,#N/A,#N/A
'adapter_cable',24,0,,,#N/A,#N/A
'adapter',25,0,,,#N/A,#N/A
'adjacent_room',27,0,,,#N/A,#N/A
'adjust_fan',28,0,,,#N/A,#N/A
'advartise',29,0,1,'advertisement',34,'advertisement'
'adveristing_poster',30,0,1,'advertisement',34,'advertisement'
'advertigement_board',31,0,1,'advertisement',34,'advertisement'
'advertise_poster',32,0,,,#N/A,#N/A
'advertisement_banner',33,0,,,#N/A,#N/A
'advertisement',34,0,,,#N/A,#N/A
'advertosing',35,0,1,'advertisement',34,'advertisement'
'adwertise_board',36,0,1,'advertisement',34,'advertisement'
'aesel',37,0,1,'easel',1774,'easel'
'ag',38,0,1,'unknown',5896,'unknown'
'agarbathies_stand',39,0,1,'unknown',5896,'unknown'
'air conditioner',40,0,,,#N/A,#N/A
'air duct',41,0,1,'air_vent',71,'air_vent'
'air vent',42,0,,,#N/A,#N/A
'air_bent',43,0,1,'air_vent',71,'air_vent'
'air_cleaner',44,0,,,#N/A,#N/A
'air_compressor',45,0,,,#N/A,#N/A
'air_condioner',46,0,1,'air_conditioner',49,'air_conditioner'
'air_conditionaer',47,0,1,'air_conditioner',49,'air_conditioner'
'air_conditioner_sistem',48,0,1,'air_conditioner',49,'air_conditioner'
'air_conditioner/heater',50,0,1,'air_conditioner',49,'air_conditioner'
'air_conditioning_duct',51,0,1,'air_conditioner',49,'air_conditioner'
'air_conditioning_vent',52,0,1,'air_conditioner',49,'air_conditioner'
'air_conditioning',53,0,1,'air_conditioner',49,'air_conditioner'
'air_contitioner',54,0,1,'air_conditioner',49,'air_conditioner'
'air_cooler_outlet',55,0,1,'air_conditioner',49,'air_conditioner'
'air_drain',56,0,1,'air_vent',71,'air_vent'
'air_duct',57,0,1,'air_vent',71,'air_vent'
'air_evoprater',58,0,1,'air_conditioner',49,'air_conditioner'
'air_exhaust',59,0,1,'air_vent',71,'air_vent'
'air_fan_reflection',60,0,1,'air_vent',71,'air_vent'
'air_fresh',61,0,1,'air_freshener',63,'air_freshener'
'air_freshener_spray',62,0,1,'air_freshener',63,'air_freshener'
'air_freshener',63,0,,,#N/A,#N/A
'air_freshiner',64,0,1,'air_freshener',63,'air_freshener'
'air_heater',65,0,1,'heater',2639,'heater'
'air_holes',66,0,1,'air_vent',71,'air_vent'
'air_perfuier',67,0,1,'air_freshener',63,'air_freshener'
'air_pump',68,0,,,#N/A,#N/A
'air_purifier',69,0,,,#N/A,#N/A
'air_shofa',70,0,1,'air_vent',71,'air_vent'
'air_vent',71,0,,,#N/A,#N/A
'air_vents',72,0,1,'air_vent',71,'air_vent'
'aircondotioner',74,0,1,'air_conditioner',49,'air_conditioner'
'airflow_monitor',75,0,,,#N/A,#N/A
'alaram',76,0,1,'alarm',80,'alarm'
'alarm clock',77,0,,,#N/A,#N/A
'alarm_button',78,0,,,#N/A,#N/A
'alarm_system',79,0,,,#N/A,#N/A
'album',81,0,,,#N/A,#N/A
'alcohol_bottle',82,0,,,#N/A,#N/A
'alcohol',83,0,,,#N/A,#N/A
'alcove_frame',84,0,,,#N/A,#N/A
'alcove',85,0,,,#N/A,#N/A
'almara',86,0,1,'unknown',5896,'unknown'
'almarrah',87,0,1,'unknown',5896,'unknown'
'almira',88,0,1,'unknown',5896,'unknown'
'alram',89,0,1,'unknown',5896,'unknown'
'alum_roasting_pan',90,0,2,'pan',3764,'pan'
'aluminium foil',91,0,,,#N/A,#N/A
'aluminium_frame',92,0,,,#N/A,#N/A
'aluminium_pannel',93,0,1,'panel',3766,'panel'
'aluminium',94,0,,,#N/A,#N/A
'aluminum_bottle',95,0,,,#N/A,#N/A
'aluminum_foil',96,0,,,#N/A,#N/A
'am/fm_radio',97,0,2,'radio',4413,'radio'
'american flag',98,0,2,'flag',2147,'flag'
'american_flag',99,0,2,'flag',2147,'flag'
